service_id,date,exception_type
202502-MVS-Sunday-01,20250519,1
202502-MVS-Sunday-01,20250701,1
202502-MVS-Sunday-01,20250804,1
202502-MVS-Weekday-01,20250519,2
202502-MVS-Weekday-01,20250701,2
202502-MVS-Weekday-01,20250804,2
202503-MVS-Sunday-01,20250901,1
202503-MVS-Sunday-01,20250930,1
202503-MVS-Sunday-01,20251013,1
202503-MVS-Sunday-01,20251111,1
202503-MVS-Sunday-01,20251225,1
202503-MVS-Sunday-01,20251226,1
202503-MVS-Sunday-01,20260101,1
202503-MVS-Weekday-01,20250901,2
202503-MVS-Weekday-01,20250930,2
202503-MVS-Weekday-01,20251013,2
202503-MVS-Weekday-01,20251111,2
202503-MVS-Weekday-01,20251225,2
202503-MVS-Weekday-01,20251226,2
202503-MVS-Weekday-01,20260101,2
