shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10027,50.480710,-104.615500,10001,0.000
10027,50.480709,-104.615148,10002,0.025
10027,50.480711,-104.613696,10003,0.128
10027,50.480708,-104.612258,10004,0.230
10027,50.480710,-104.611851,10005,0.259
10027,50.480710,-104.611851,20001,0.259
10027,50.480713,-104.610821,20002,0.332
10027,50.480717,-104.609383,20003,0.434
10027,50.480714,-104.608680,20004,0.484
10027,50.480714,-104.608680,30001,0.484
10027,50.480712,-104.607917,30002,0.538
10027,50.480716,-104.606395,30003,0.646
10027,50.480709,-104.605888,30004,0.682
10027,50.480709,-104.605888,40001,0.682
10027,50.480692,-104.604789,40002,0.760
10027,50.480697,-104.603464,40003,0.854
10027,50.480696,-104.603090,40004,0.880
10027,50.480696,-104.603090,50001,0.880
10027,50.480696,-104.600588,50002,1.058
10027,50.480697,-104.600120,50003,1.091
10027,50.480697,-104.600120,60001,1.091
10027,50.480700,-104.599151,60002,1.160
10027,50.480695,-104.597685,60003,1.264
10027,50.480696,-104.597059,60004,1.308
10027,50.480696,-104.597059,70001,1.308
10027,50.480699,-104.596261,70002,1.365
10027,50.480693,-104.595161,70003,1.443
10027,50.479527,-104.595206,70004,1.573
10027,50.479329,-104.595206,70005,1.595
10027,50.479329,-104.595206,80001,1.595
10027,50.478879,-104.595206,80002,1.645
10027,50.478882,-104.596070,80003,1.706
10027,50.478882,-104.596070,90001,1.706
10027,50.478882,-104.596263,90002,1.720
10027,50.478878,-104.597700,90003,1.822
10027,50.478883,-104.599152,90004,1.925
10027,50.478640,-104.599153,90005,1.952
10027,50.478640,-104.599153,100001,1.952
10027,50.477049,-104.599153,100002,2.129
10027,50.476819,-104.599154,100003,2.154
10027,50.476819,-104.599154,110001,2.154
10027,50.475502,-104.599152,110002,2.301
10027,50.475280,-104.599153,110003,2.326
10027,50.475280,-104.599153,120001,2.326
10027,50.473955,-104.599151,120002,2.473
10027,50.473954,-104.598760,120003,2.501
10027,50.473954,-104.598760,130001,2.501
10027,50.473950,-104.597714,130002,2.575
10027,50.473954,-104.596262,130003,2.678
10027,50.472398,-104.596262,130004,2.851
10027,50.472396,-104.596780,130005,2.888
10027,50.472396,-104.596780,140001,2.888
10027,50.472394,-104.597699,140002,2.953
10027,50.472399,-104.599150,140003,3.056
10027,50.472398,-104.599739,140004,3.098
10027,50.472398,-104.599739,150001,3.098
10027,50.472395,-104.600588,150002,3.158
10027,50.472399,-104.601750,150003,3.240
10027,50.472399,-104.601750,160001,3.240
10027,50.472400,-104.602039,160002,3.261
10027,50.472405,-104.603477,160003,3.363
10027,50.472404,-104.603960,160004,3.397
10027,50.472404,-104.603960,170001,3.397
10027,50.472401,-104.604914,170002,3.465
10027,50.472415,-104.606408,170003,3.571
10027,50.472039,-104.606411,170004,3.613
10027,50.472039,-104.606411,180001,3.613
10027,50.470850,-104.606421,180002,3.745
10027,50.470420,-104.606417,180003,3.793
10027,50.470420,-104.606417,190001,3.793
10027,50.469515,-104.606411,190002,3.893
10027,50.468449,-104.606403,190003,4.012
10027,50.467980,-104.606404,190004,4.064
10027,50.467980,-104.606404,200001,4.064
10027,50.467505,-104.606403,200002,4.117
10027,50.466227,-104.606403,200003,4.259
10027,50.462944,-104.606403,200004,4.624
10027,50.461710,-104.606402,200005,4.761
10027,50.461710,-104.606402,210001,4.761
10027,50.461398,-104.606402,210002,4.796
10027,50.459842,-104.606401,210003,4.969
10027,50.459270,-104.606400,210004,5.032
10027,50.459270,-104.606400,220001,5.032
10027,50.458295,-104.606399,220002,5.141
10027,50.456739,-104.606398,220003,5.314
10027,50.456350,-104.606399,220004,5.357
10027,50.456350,-104.606399,230001,5.357
10027,50.455094,-104.606398,230002,5.497
10027,50.453021,-104.606404,230003,5.727
10027,50.452103,-104.606407,230004,5.829
10027,50.451190,-104.606409,230005,5.931
10027,50.451190,-104.606409,240001,5.931
10027,50.450372,-104.606412,240002,6.022
10027,50.450377,-104.607916,240003,6.129
10027,50.450374,-104.609230,240004,6.222
10027,50.450374,-104.609230,250001,6.222
10027,50.450373,-104.609367,250002,6.232
10027,50.450369,-104.610818,250003,6.335
10027,50.450374,-104.612254,250004,6.437
10027,50.450378,-104.613470,250005,6.523
10027,50.450378,-104.613470,260001,6.523
10027,50.450379,-104.613691,260002,6.539
10027,50.450383,-104.615142,260003,6.642
10027,50.448801,-104.615141,260004,6.818
10027,50.448797,-104.616380,260005,6.906
10027,50.448797,-104.616380,270001,6.906
10027,50.448796,-104.616577,270002,6.920
10027,50.448810,-104.618098,270003,7.028
10027,50.449510,-104.618093,270004,7.106
10027,50.449510,-104.618093,280001,7.106
10027,50.450326,-104.618086,280002,7.196
10027,50.450996,-104.618095,280003,7.271
10027,50.452039,-104.618096,280004,7.387
10027,50.453433,-104.618098,280005,7.542
10027,50.453759,-104.618099,280006,7.578
10027,50.453759,-104.618099,290001,7.578
10027,50.455096,-104.618104,290002,7.727
10027,50.455093,-104.619420,290003,7.820
10027,50.455093,-104.619420,300001,7.820
10027,50.455093,-104.619597,300002,7.833
10027,50.455088,-104.621062,300003,7.937
10027,50.455090,-104.621500,300004,7.968
10027,50.455090,-104.621500,310001,7.968
10027,50.455093,-104.622499,310002,8.039
10027,50.455089,-104.623936,310003,8.141
10027,50.455091,-104.624531,310004,8.183
10027,50.455091,-104.624531,320001,8.183
10027,50.455093,-104.625387,320002,8.244
10027,50.455089,-104.626838,320003,8.347
10027,50.455090,-104.627261,320004,8.377
10027,50.455090,-104.627261,330001,8.377
10027,50.455094,-104.628289,330002,8.450
10027,50.455089,-104.629726,330003,8.552
10027,50.455091,-104.630140,330004,8.581
10027,50.455091,-104.630140,340001,8.581
10027,50.455094,-104.631163,340002,8.654
10027,50.455096,-104.631750,340003,8.695
10027,50.455096,-104.631750,350001,8.695
10027,50.455098,-104.632614,350002,8.757
10027,50.455094,-104.634050,350003,8.859
10027,50.455087,-104.634467,350004,8.888
10027,50.455087,-104.634467,360001,8.888
10027,50.455072,-104.635487,360002,8.961
10027,50.455076,-104.636938,360003,9.064
10027,50.455077,-104.637391,360004,9.096
10027,50.455077,-104.637391,370001,9.096
10027,50.455081,-104.638389,370002,9.167
