stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0002,,"Courtney St @ Dewdney Ave (NB)",,  50.455930,-104.686840,,,0,
0003,,"Courtney St @ 8th Ave (NB)",,  50.457560,-104.686840,,,0,
0004,,"Courtney St @ 7th Ave (NB)",,  50.458620,-104.686840,,,0,
0005,,"Courtney St @ 6th Ave (NB)",,  50.459540,-104.686850,,,0,
0006,,"Courtney St @ Kelly Ave (NB)",,  50.460840,-104.686840,,,0,
0007,,"5th Ave @ Duncan Cr (EB)",,  50.461460,-104.685749,,,0,
0008,,"Dorothy St @ 5th Ave (SB)",,  50.461210,-104.682590,,,0,
0009,,"Dorothy St @ Kelly Ave (SB)",,  50.460000,-104.682330,,,0,
0010,,"Dorothy St @ 6th Ave (SB)",,  50.459200,-104.682039,,,0,
0011,,"Dorothy St @ 7th Ave (SB)",,  50.458430,-104.681280,,,0,
0012,,"Dorothy St @ 8th Ave (SB)",,  50.457100,-104.679900,,,0,
0013,,"Dorothy St @ Bowman Ave (SB)",,  50.455780,-104.679700,,,0,
0014,,"Dewdney Ave @ Dorothy St (EB)",,  50.455100,-104.678840,,,0,
0015,,"Dewdney Ave @ Southam St (EB)",,  50.455100,-104.676651,,,0,
0016,,"Dewdney Ave @ Kent St (EB)",,  50.455100,-104.673750,,,0,
0017,,"Dewdney Ave @ Carlton St (EB)",,  50.455100,-104.671610,,,0,
0018,,"Dewdney Ave @ Donald St (EB)",,  50.455090,-104.669061,,,0,
0019,,"Dewdney Ave @ Bonner Dr (EB)",,  50.455090,-104.665530,,,0,
0020,,"Dewdney Ave @ Horace St (EB)",,  50.455090,-104.660390,,,0,
0021,,"Dewdney Ave @ Minto St (EB)",,  50.455100,-104.656230,,,0,
0022,,"Dewdney Ave @ Empress St (EB)",,  50.455110,-104.653261,,,0,
0023,,"Dewdney Ave @ Royal St (EB)",,  50.455110,-104.650390,,,0,
0024,,"Dewdney Ave @ Hewitt Pl (EB)",,  50.455110,-104.648480,,,0,
0025,,"Dewdney Ave @ York St (EB)",,  50.455090,-104.645700,,,0,
0027,,"Dewdney Ave @ Wascana St (EB)",,  50.455000,-104.639129,,,0,
0028,,"Dewdney Ave @ Princess St (EB)",,  50.454990,-104.635011,,,0,
0029,,"Dewdney Ave @ Argyle St (EB)",,  50.455010,-104.632170,,,0,
0030,,"Dewdney Ave @ Elphinstone St (EB)",,  50.455000,-104.630610,,,0,
0031,,"Dewdney Ave @ Montague St (EB)",,  50.455020,-104.629250,,,0,
0032,,"Dewdney Ave @ Garnet St (EB)",,  50.455020,-104.626120,,,0,
0033,,"Dewdney Ave @ Robinson St (EB)",,  50.455020,-104.623490,,,0,
0034,,"Dewdney Ave @ Rae St (EB)",,  50.455030,-104.620660,,,0,
0035,,"Albert St @ Dewdney Ave (SB)",,  50.454610,-104.618180,,,0,
0037,,"Albert St @ 11th Ave (SB)",,  50.449760,-104.618191,,,0,
0038,,"12th Ave @ Smith St (EB)",,  50.448770,-104.615330,,,0,
0041,,"Broad St @ 12th Ave (NB)",,  50.448490,-104.606310,,,0,
0042,,"Broad St @ Dewdney Ave (NB)",,  50.455500,-104.606300,,,0,
0044,,"Broad St @ 7th Ave (NB)",,  50.458600,-104.606280,,,0,
