from_stop_id,to_stop_id,transfer_type
0002,0002,1
0023,0132,1
0027,0027,1
0027,0127,1
0035,0181,1
0037,0037,1
0037,0360,1
0037,1360,1
0038,0038,1
0038,1356,1
0041,0041,1
0041,1271,1
0041,1361,1
0041,1362,1
0042,1369,1
0046,0109,1
0047,1092,1
0059,0193,1
0060,0060,1
0060,0088,1
0060,0166,1
0069,0069,1
0086,1552,1
0088,0060,1
0088,0088,1
0088,0166,1
0096,1434,1
0109,0960,1
0111,1364,1
0112,1361,1
0112,1362,1
0114,0114,1
0114,1355,1
0118,1273,1
0124,0030,1
0127,0127,1
0127,0027,1
0166,0060,1
0166,0088,1
0172,0172,1
0172,0480,1
0174,0963,1
0174,1089,1
0175,1090,1
0176,0185,1
0176,0286,1
0178,0183,1
0178,0405,1
0180,0180,1
0180,1333,1
0180,1537,1
0180,1544,1
0180,1545,1
0181,0035,1
0181,0119,1
0181,0181,1
0181,1367,1
0183,0405,1
0185,0176,1
0186,1090,1
0189,0480,1
0193,0059,1
0193,0167,1
0202,0202,1
0202,0323,1
0203,0441,1
0205,0439,1
0215,0215,1
0215,0428,1
0215,0494,1
0216,0342,1
0216,0303,1
0219,0219,1
0219,0420,1
0226,0968,1
0226,1084,1
0236,0618,1
0238,0283,1
0241,0280,1
0247,0272,1
0248,0271,1
0249,0249,1
0249,0270,1
0255,0255,1
0255,0266,1
0255,0586,1
0259,1105,1
0260,0753,1
0260,0925,1
0261,0261,1
0261,0584,1
0263,1105,1
0270,0249,1
0270,0270,1
0280,0241,1
0280,0280,1
0280,0990,1
0281,0794,1
0283,0238,1
0283,0791,1
0284,0618,1
0296,0296,1
0296,1079,1
0303,0426,1
0303,0216,1
0305,0305,1
0306,0306,1
0306,1064,1
0307,0338,1
0308,0308,1
0308,0459,1
0308,0497,1
0322,1445,1
0323,0202,1
0323,0323,1
0337,0337,1
0337,0459,1
0337,0497,1
0338,0338,1
0340,0305,1
0342,0216,1
0342,0426,1
0350,0296,1
0350,1079,1
0360,0037,1
0360,0360,1
0360,0404,1
0360,1360,1
0361,0404,1
0362,0691,1
0364,0401,1
0364,0895,1
0382,0382,1
0384,0384,1
0385,0385,1
0391,0374,1
0391,0580,1
0401,0895,1
0403,0691,1
0411,0291,1
0413,0968,1
0413,1084,1
0420,0219,1
0420,0420,1
0425,0425,1
0425,0462,1
0426,0303,1
0426,0342,1
0433,1256,1
0439,1451,1
0440,0440,1
0441,0441,1
0449,0450,1
0458,0862,1
0459,0308,1
0459,0337,1
0459,0459,1
0459,0497,1
0480,0172,1
0488,0160,1
0488,0200,1
0494,0215,1
0497,0308,1
0497,0337,1
0497,0459,1
0497,0497,1
0513,0513,1
0513,0558,1
0514,0752,1
0520,0520,1
0520,0743,1
0520,0742,1
0520,1038,1
0528,0528,1
0531,0526,1
0558,0513,1
0558,0558,1
0575,1181,1
0579,0236,1
0580,0391,1
0584,0261,1
0584,0584,1
0587,0587,1
0598,1110,1
0599,0604,1
0602,0602,1
0612,1393,1
0622,1181,1
0629,0629,1
0638,0638,1
0650,0695,1
0652,1199,1
0654,0362,1
0686,0658,1
0690,0041,1
0690,1271,1
0690,1362,1
0732,0732,1
0742,0521,1
0742,0742,1
0742,0819,1
0742,1038,1
0752,0752,1
0764,0769,1
0790,0266,1
0791,0238,1
0791,0283,1
0793,0793,1
0819,0520,1
0819,0742,1
0819,1038,1
0830,0830,1
0831,0831,1
0836,0836,1
0838,0838,1
0858,1183,1
0871,1068,1
0881,0030,1
0887,0887,1
0888,0888,1
0894,0401,1
0895,0364,1
0895,0401,1
0900,1137,1
0900,0950,1
0924,0937,1
0948,0902,1
0958,0958,1
0960,0109,1
0968,0226,1
0968,0413,1
0984,1153,1
0987,1066,1
0994,1183,1
1010,1010,1
1038,0520,1
1038,0521,1
1038,0742,1
1043,1043,1
1079,0350,1
1084,0226,1
1084,0413,1
1089,0174,1
1089,0186,1
1090,0186,1
1090,0175,1
1092,0047,1
1094,0902,1
1137,0950,1
1166,1166,1
1174,1174,1
1174,0693,1
1183,0858,1
1183,0994,1
1189,1189,1
1189,0237,1
1196,0894,1
1256,0433,1
1256,0209,1
1328,1328,1
1333,0180,1
1333,1333,1
1333,1537,1
1333,1544,1
1333,1545,1
1356,0038,1
1356,1356,1
1360,0037,1
1360,1360,1
1362,0041,1
1367,0119,1
1369,0042,1
1370,0765,1
1421,1421,1
1423,1423,1
1423,1432,1
1432,1423,1
1432,1432,1
1434,0096,1
1434,1463,1
1441,1441,1
1442,1505,1
1443,1032,1
1450,1450,1
1451,0205,1
1470,0097,1
1491,0675,1
1511,1511,1
1537,0180,1
1537,1333,1
1537,1537,1
1537,1544,1
1537,1545,1
1544,0180,1
1544,1333,1
1544,1537,1
1544,1544,1
1544,1545,1
1545,0180,1
1545,1333,1
1545,1537,1
1545,1544,1
1545,1545,1
1566,1566,1
1569,1569,1
1574,1574,1
1589,1589,1
