route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
18-44,202502-MVS-Weekday-01,218095-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218096-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218097-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218098-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218099-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218100-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218101-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218102-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218103-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218104-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218105-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218106-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218107-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218108-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218109-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218110-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218111-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218112-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218113-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218114-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218115-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218116-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218117-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218118-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218119-202502-MVS-Weekday-01,"UNIVERSITY",0,12208,180008
18-44,202502-MVS-Weekday-01,218120-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218121-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218122-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218123-202502-MVS-Weekday-01,"UNIVERSITY",0,12209,180008
18-44,202502-MVS-Weekday-01,218124-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180005
18-44,202502-MVS-Weekday-01,218125-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180005
18-44,202502-MVS-Weekday-01,218126-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218127-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218128-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218129-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218130-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218131-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218132-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218133-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218134-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218135-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218136-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218137-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218138-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218139-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218140-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218141-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218142-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218143-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218144-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218145-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218146-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218147-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218148-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218149-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218150-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12208,180009
18-44,202502-MVS-Weekday-01,218151-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218152-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218153-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
18-44,202502-MVS-Weekday-01,218154-202502-MVS-Weekday-01,"HARBOUR LANDING",1,12209,180009
60-44,202502-MVS-Weekday-01,218179-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12267,600017
60-44,202502-MVS-Weekday-01,218180-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12268,600017
60-44,202502-MVS-Weekday-01,218181-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12266,600017
60-44,202502-MVS-Weekday-01,218182-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12267,600017
60-44,202502-MVS-Weekday-01,218183-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12268,600017
60-44,202502-MVS-Weekday-01,218184-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12266,600017
60-44,202502-MVS-Weekday-01,218185-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12267,600017
60-44,202502-MVS-Weekday-01,218186-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12268,600017
60-44,202502-MVS-Weekday-01,218187-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12267,600017
60-44,202502-MVS-Weekday-01,218188-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12268,600017
60-44,202502-MVS-Weekday-01,218189-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12267,600017
60-44,202502-MVS-Weekday-01,218190-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12268,600017
60-44,202502-MVS-Weekday-01,218191-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12267,600017
60-44,202502-MVS-Weekday-01,218192-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12268,600017
60-44,202502-MVS-Weekday-01,218193-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12267,600017
60-44,202502-MVS-Weekday-01,218194-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12268,600017
60-44,202502-MVS-Weekday-01,218195-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12265,600017
60-44,202502-MVS-Weekday-01,218196-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12267,600017
60-44,202502-MVS-Weekday-01,218197-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12268,600017
60-44,202502-MVS-Weekday-01,218198-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12265,600017
60-44,202502-MVS-Weekday-01,218199-202502-MVS-Weekday-01,"ARCOLA DOWNTOWN",1,12267,600017
